Generation,Best,Average,Worst
0,2961.45,3567.97,4155.69
1,2961.45,3461.38,3992.04
2,2961.45,3395.50,3925.57
3,2863.56,3351.98,3937.94
4,2853.12,3319.06,3936.60
5,2721.90,3270.95,3849.76
6,2721.90,3233.21,3796.27
7,2633.89,3187.52,3708.35
8,2633.89,3144.83,3636.15
9,2633.89,3116.32,3711.50
10,2633.89,3066.83,3789.71
11,2593.04,3020.08,3763.11
12,2497.02,2985.15,3541.59
13,2459.56,2960.85,3601.15
14,2459.56,2936.52,3560.21
15,2459.56,2913.20,3533.02
16,2441.79,2893.80,3559.37
17,2406.73,2867.07,3480.23
18,2325.33,2865.35,3379.62
19,2325.33,2858.20,3375.31
20,2325.33,2820.29,3384.19
21,2325.33,2786.58,3529.39
22,2325.33,2747.70,3373.21
23,2307.15,2683.50,3385.81
24,2274.28,2627.42,3236.76
25,2243.39,2571.55,3100.59
26,2241.38,2503.82,3082.38
27,2183.57,2455.32,2919.38
28,2183.57,2433.13,2954.35
29,2162.62,2430.30,2929.26
30,2162.62,2429.28,3049.95
31,2162.62,2440.73,2985.50
32,2160.80,2447.65,3095.87
33,2160.80,2446.58,3002.37
34,2160.80,2456.39,3102.03
35,2130.04,2458.26,2968.08
36,2130.04,2443.28,3145.18
37,2130.04,2425.95,3007.64
38,2103.97,2402.33,2874.66
39,2103.97,2364.51,2943.63
40,2103.97,2325.55,2880.40
41,2079.44,2305.98,2971.03
42,2079.44,2288.95,3038.28
43,2048.58,2262.58,2900.48
44,2048.58,2188.58,2748.24
45,2046.56,2148.73,2621.58
46,2046.56,2141.37,2789.24
47,2040.57,2156.00,2740.73
48,2036.58,2146.30,2798.78
49,2023.03,2125.38,2758.60
