Config,Config,Best,Worst,Average,StdDev,Time(s),Evaluations
pop:100 gen:50 Px:0.70 Pm:0.01 Tour:3 TOURNAMENT/OX/SWAP EC:1,2184.68,2721.76,2511.77,133.25,0.321,50000
pop:100 gen:50 Px:0.70 Pm:0.01 Tour:3 TOURNAMENT/OX/SWAP EC:3,2351.86,2785.61,2553.19,148.74,0.293,50000
pop:100 gen:50 Px:0.70 Pm:0.01 Tour:3 TOURNAMENT/OX/SWAP EC:5,2346.45,2572.24,2430.13,70.98,0.296,50000
pop:100 gen:200 Px:0.80 Pm:0.03 Tour:5 TOURNAMENT/OX/SWAP EC:1,1890.35,2209.09,2082.78,108.38,1.435,200000
pop:100 gen:200 Px:0.80 Pm:0.03 Tour:5 TOURNAMENT/OX/SWAP EC:3,1959.68,2203.16,2062.32,71.67,1.060,200000
pop:100 gen:200 Px:0.80 Pm:0.03 Tour:5 TOURNAMENT/OX/SWAP EC:5,1960.34,2229.79,2070.59,77.78,1.081,200000
pop:100 gen:400 Px:0.90 Pm:0.05 Tour:7 TOURNAMENT/OX/SWAP EC:1,1841.77,1967.65,1899.23,53.41,2.807,400000
pop:100 gen:400 Px:0.90 Pm:0.05 Tour:7 TOURNAMENT/OX/SWAP EC:3,1801.89,2030.17,1927.32,69.22,2.266,400000
pop:100 gen:400 Px:0.90 Pm:0.05 Tour:7 TOURNAMENT/OX/SWAP EC:5,1711.92,1987.44,1888.66,78.89,2.328,400000
pop:100 gen:1000 Px:1.00 Pm:0.10 Tour:9 TOURNAMENT/OX/SWAP EC:1,1604.64,1798.37,1700.43,61.55,6.058,1000000
pop:100 gen:1000 Px:1.00 Pm:0.10 Tour:9 TOURNAMENT/OX/SWAP EC:3,1637.06,1741.80,1682.82,37.98,5.817,1000000
pop:100 gen:1000 Px:1.00 Pm:0.10 Tour:9 TOURNAMENT/OX/SWAP EC:5,1610.69,1838.02,1704.63,69.81,5.403,1000000
pop:400 gen:50 Px:0.80 Pm:0.05 Tour:9 TOURNAMENT/OX/SWAP EC:1,1957.08,2089.42,2025.25,46.07,1.223,200000
pop:400 gen:50 Px:0.80 Pm:0.05 Tour:9 TOURNAMENT/OX/SWAP EC:3,1891.78,2187.20,2027.53,100.74,1.218,200000
pop:400 gen:50 Px:0.80 Pm:0.05 Tour:9 TOURNAMENT/OX/SWAP EC:5,1893.58,2169.84,2031.31,73.31,1.169,200000
pop:400 gen:200 Px:0.90 Pm:0.10 Tour:3 TOURNAMENT/OX/SWAP EC:1,1943.67,2117.38,2046.35,49.82,5.856,800000
pop:400 gen:200 Px:0.90 Pm:0.10 Tour:3 TOURNAMENT/OX/SWAP EC:3,1711.63,1917.72,1816.10,67.60,5.963,800000
pop:400 gen:200 Px:0.90 Pm:0.10 Tour:3 TOURNAMENT/OX/SWAP EC:5,1624.49,1881.15,1753.43,81.74,6.248,800000
pop:400 gen:400 Px:1.00 Pm:0.01 Tour:5 TOURNAMENT/OX/SWAP EC:1,1567.18,1789.68,1675.46,76.50,10.111,1600000
pop:400 gen:400 Px:1.00 Pm:0.01 Tour:5 TOURNAMENT/OX/SWAP EC:3,1748.93,1908.07,1804.11,44.75,9.586,1600000
pop:400 gen:400 Px:1.00 Pm:0.01 Tour:5 TOURNAMENT/OX/SWAP EC:5,1667.32,1919.34,1795.28,88.28,9.320,1600000
pop:400 gen:1000 Px:0.70 Pm:0.03 Tour:7 TOURNAMENT/OX/SWAP EC:1,1610.40,1804.98,1689.67,58.11,20.834,4000000
pop:400 gen:1000 Px:0.70 Pm:0.03 Tour:7 TOURNAMENT/OX/SWAP EC:3,1618.12,1842.76,1708.56,79.49,23.310,4000000
pop:400 gen:1000 Px:0.70 Pm:0.03 Tour:7 TOURNAMENT/OX/SWAP EC:5,1595.22,1778.37,1692.63,59.27,21.657,4000000
pop:800 gen:50 Px:0.90 Pm:0.10 Tour:5 TOURNAMENT/OX/SWAP EC:1,1893.97,2256.43,2056.17,92.44,2.866,400000
pop:800 gen:50 Px:0.90 Pm:0.10 Tour:5 TOURNAMENT/OX/SWAP EC:3,1915.98,2065.92,1981.93,48.96,2.936,400000
pop:800 gen:50 Px:0.90 Pm:0.10 Tour:5 TOURNAMENT/OX/SWAP EC:5,1900.70,2046.96,1964.22,51.94,2.878,400000
pop:800 gen:200 Px:1.00 Pm:0.01 Tour:7 TOURNAMENT/OX/SWAP EC:1,1600.27,1864.55,1728.92,88.40,10.260,1600000
pop:800 gen:200 Px:1.00 Pm:0.01 Tour:7 TOURNAMENT/OX/SWAP EC:3,1637.00,1801.96,1727.88,52.39,9.616,1600000
pop:800 gen:200 Px:1.00 Pm:0.01 Tour:7 TOURNAMENT/OX/SWAP EC:5,1656.73,1845.01,1756.75,58.07,11.229,1600000
pop:800 gen:400 Px:0.70 Pm:0.03 Tour:9 TOURNAMENT/OX/SWAP EC:1,1515.74,1763.71,1662.45,70.00,18.370,3200000
pop:800 gen:400 Px:0.70 Pm:0.03 Tour:9 TOURNAMENT/OX/SWAP EC:3,1591.10,1738.17,1649.95,46.17,18.947,3200000
pop:800 gen:400 Px:0.70 Pm:0.03 Tour:9 TOURNAMENT/OX/SWAP EC:5,1611.75,1763.33,1679.28,54.59,17.606,3200000
pop:800 gen:1000 Px:0.80 Pm:0.05 Tour:3 TOURNAMENT/OX/SWAP EC:1,1487.17,1651.14,1544.87,50.46,56.011,8000000
pop:800 gen:1000 Px:0.80 Pm:0.05 Tour:3 TOURNAMENT/OX/SWAP EC:3,1488.31,1750.43,1598.68,68.84,55.397,8000000
pop:800 gen:1000 Px:0.80 Pm:0.05 Tour:3 TOURNAMENT/OX/SWAP EC:5,1530.05,1666.36,1598.86,46.70,48.951,8000000
pop:1000 gen:50 Px:1.00 Pm:0.05 Tour:7 TOURNAMENT/OX/SWAP EC:1,1902.99,2110.83,1975.31,56.31,4.532,500000
pop:1000 gen:50 Px:1.00 Pm:0.05 Tour:7 TOURNAMENT/OX/SWAP EC:3,1799.73,2027.63,1913.02,78.79,4.833,500000
pop:1000 gen:50 Px:1.00 Pm:0.05 Tour:7 TOURNAMENT/OX/SWAP EC:5,1777.17,1986.66,1874.49,61.09,4.280,500000
pop:1000 gen:200 Px:0.70 Pm:0.10 Tour:9 TOURNAMENT/OX/SWAP EC:1,1587.61,1699.59,1636.69,34.12,14.112,2000000
pop:1000 gen:200 Px:0.70 Pm:0.10 Tour:9 TOURNAMENT/OX/SWAP EC:3,1558.36,1739.07,1645.26,56.20,15.590,2000000
pop:1000 gen:200 Px:0.70 Pm:0.10 Tour:9 TOURNAMENT/OX/SWAP EC:5,1568.71,1875.13,1665.18,85.69,14.290,2000000
pop:1000 gen:400 Px:0.80 Pm:0.01 Tour:3 TOURNAMENT/OX/SWAP EC:1,1500.60,1709.70,1586.81,66.79,30.371,4000000
pop:1000 gen:400 Px:0.80 Pm:0.01 Tour:3 TOURNAMENT/OX/SWAP EC:3,1585.84,1720.38,1646.98,49.46,28.090,4000000
pop:1000 gen:400 Px:0.80 Pm:0.01 Tour:3 TOURNAMENT/OX/SWAP EC:5,1591.55,1840.87,1694.80,74.64,26.235,4000000
pop:1000 gen:1000 Px:0.90 Pm:0.03 Tour:5 TOURNAMENT/OX/SWAP EC:1,1471.48,1703.15,1570.54,68.14,67.105,10000000 (best)
pop:1000 gen:1000 Px:0.90 Pm:0.03 Tour:5 TOURNAMENT/OX/SWAP EC:3,1533.02,1666.90,1594.15,44.52,64.881,10000000
pop:1000 gen:1000 Px:0.90 Pm:0.03 Tour:5 TOURNAMENT/OX/SWAP EC:5,1515.95,1746.99,1612.36,64.33,65.227,10000000
